Order_Date,Time,Aging,Customer_Id,Gender,Device_Type,Customer_Login_type,Product_Category,Product,Sales,Quantity,Discount,Profit,Shipping_Cost,Order_Priority,Payment_method
11/1/2018,18:52:12,5,31345,Female,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,32.3,3.2,Critical,credit_card
11/1/2018,10:48:19,10,18692,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,Medium,credit_card
11/1/2018,14:58:41,2,40363,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.2,160,16,Critical,credit_card
11/1/2018,16:54:38,1,24997,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.2,132.5,13.3,Medium,money_order
11/1/2018,17:57:54,5,13491,Male,Web,Member,Auto & Accessories,Car Body Covers,117,4,0.3,18.3,1.8,High,credit_card
11/1/2018,16:37:54,4,15219,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.3,105.7,10.6,Critical,credit_card
11/1/2018,13:30:12,2,43804,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.2,34.7,3.5,Critical,credit_card
11/1/2018,19:18:06,2,58913,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,123.3,12.3,High,credit_card
11/1/2018,0:22:08,9,27917,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,47.4,4.7,Critical,debit_card
11/1/2018,17:02:45,6,46398,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.1,55.8,5.6,High,credit_card
11/1/2018,14:42:31,8,50045,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.3,25.3,2.5,High,credit_card
11/1/2018,23:35:06,4,54319,Male,Web,Member,Auto & Accessories,Tyre,250,1,0.2,160,16,High,credit_card
11/1/2018,21:23:20,4,25312,Male,Web,Member,Auto & Accessories,Bike Tyres,72,1,0.3,36,3.6,High,credit_card
11/1/2018,22:25:27,3,52156,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,High,money_order
11/1/2018,21:22:53,5,31737,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,27.4,2.7,Medium,credit_card
11/1/2018,21:22:16,4,27346,Male,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,18,1.8,Critical,credit_card
11/1/2018,0:54:05,4,12941,Male,Web,Member,Auto & Accessories,Car Body Covers,117,1,0.3,25.3,2.5,High,credit_card
11/1/2018,13:52:56,10,18379,Male,Web,Member,Auto & Accessories,Car Media Players,140,1,0.3,51.6,5.2,Critical,money_order
11/1/2018,23:24:08,1,40559,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,4,0.1,29.4,2.9,High,credit_card
11/1/2018,21:27:25,10,11218,Male,Web,Member,Auto & Accessories,Car Speakers,211,1,0.1,124.7,12.5,High,money_order
11/1/2018,10:06:37,6,26129,Female,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.2,27.2,2.7,High,credit_card
11/1/2018,23:28:16,4,30800,Male,Web,Member,Auto & Accessories,Car & Bike Care,118,1,0.3,23.8,2.4,Medium,credit_card
11/1/2018,7:19:59,10,32966,Female,Web,Member,Auto & Accessories,Tyre,250,4,0.3,120,12,High,credit_card
11/1/2018,14:44:38,5,59771,Male,Web,Guest,Auto & Accessories,Car & Bike Care,118,5,0.3,20.3,2,Medium,credit_card
11/1/2018,0:02:01,8,51330,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,4,0.3,104.8,10.5,High,credit_card
11/1/2018,16:59:05,2,39633,Female,Web,Member,Auto & Accessories,Car Mat,54,1,0.3,54,5.4,Medium,credit_card
11/1/2018,20:44:34,5,54109,Male,Web,Member,Auto & Accessories,Car Seat Covers,114,1,0.3,30.6,3.1,Medium,credit_card
11/1/2018,13:30:49,5,23088,Male,Web,Member,Auto & Accessories,Car Pillow & Neck Rest,231,1,0.2,137.1,13.7,High,credit_card
11/1/2018,23:01:03,7,40124,Male,Web,Member,Auto & Accessories,Car Media Players,140,4,0.2,48.8,4.9,Medium,money_order
11/1/2018,21:16:43,3,50072,Male,Web,Member,Fashion,Formal Shoes,213,1,0.4,124.5,12.4,Medium,credit_card
11/1/2018,0:29:18,3,45817,Male,Web,Member,Fashion,Casula Shoes,122,5,0.5,35.9,3.6,Medium,credit_card
11/1/2018,22:14:52,6,46926,Male,Web,Member,Fashion,Casula Shoes,122,1,0.4,22.5,2.2,Critical,credit_card
11/1/2018,7:31:32,10,13573,Female,Web,Member,Fashion,Suits,109,2,0.5,26.8,2.7,High,money_order
11/1/2018,13:56:24,1,19287,Female,Web,Member,Fashion,Shirts,196,3,0.5,110.1,11,Medium,credit_card
11/1/2018,8:22:05,1,37477,Male,Web,Member,Fashion,T - Shirts,248,5,0.5,155.6,15.6,Medium,credit_card
11/1/2018,18:33:19,9,55395,Female,Web,Member,Fashion,Suits,109,1,0.5,24.6,2.5,High,e_wallet
11/1/2018,20:25:36,7,59234,Male,Web,Member,Fashion,Running Shoes,224,3,0.5,137.3,13.7,Medium,credit_card
11/1/2018,13:39:53,1,29532,Male,Web,Member,Fashion,Jeans,218,3,0.4,111.8,11.2,Critical,credit_card
11/1/2018,12:50:41,1,13490,Female,Web,Member,Fashion,Titak watch,228,2,0.4,129.8,13,Medium,credit_card
11/1/2018,12:57:54,1,17239,Male,Web,Member,Fashion,Jeans,218,1,0.4,133.6,13.4,High,credit_card
11/1/2018,13:42:49,1,30561,Male,Web,Member,Fashion,Shirts,196,5,0.5,106.2,10.6,Medium,credit_card
11/1/2018,19:00:07,1,34886,Male,Web,Member,Fashion,Fossil Watch,159,5,0.5,71.1,7.1,High,credit_card
11/1/2018,8:06:08,1,18929,Male,Web,Member,Fashion,Running Shoes,224,3,0.5,123.8,12.4,Medium,credit_card
11/1/2018,16:54:09,1,17360,Male,Web,Member,Fashion,Casula Shoes,122,5,0.5,35.9,3.6,Critical,money_order
11/1/2018,18:38:31,1,35348,Male,Web,Member,Fashion,Jeans,218,3,0.4,111.8,11.2,Critical,credit_card
11/1/2018,21:26:22,1,47139,Male,Web,Member,Fashion,Sneakers,62,1,0.4,62,6.2,High,credit_card
11/1/2018,19:34:51,1,45362,Female,Web,Member,Fashion,Fossil Watch,159,1,0.5,47.2,4.7,High,credit_card
11/1/2018,23:27:57,1,59032,Female,Web,Member,Fashion,Casula Shoes,122,5,0.4,29.8,3,Critical,credit_card
11/1/2018,14:59:16,1,41958,Male,Web,Member,Fashion,Suits,109,2,0.4,24.6,2.5,High,money_order
11/1/2018,10:28:27,1,22522,Male,Web,Member,Fashion,Titak watch,228,2,0.5,134.3,13.4,Critical,credit_card
11/1/2018,19:40:51,1,10883,Male,Web,Member,Fashion,Formal Shoes,213,1,0.4,124.5,12.4,Medium,money_order
11/1/2018,0:03:15,1,10623,Female,Web,Member,Fashion,Formal Shoes,213,5,0.5,122.4,12.2,Medium,credit_card
11/1/2018,10:03:19,1,31998,Female,Web,Member,Fashion,Shirts,196,5,0.5,67,6.7,High,credit_card
11/1/2018,12:37:20,1,40438,Male,Web,Member,Fashion,Sports Wear,85,2,0.5,3.3,0.3,Medium,money_order
11/1/2018,13:30:33,1,14450,Male,Web,Member,Fashion,Sneakers,62,5,0.5,12.4,1.2,Medium,money_order
11/1/2018,14:11:25,3,35425,Male,Web,Member,Fashion,Fossil Watch,159,4,0.3,59.9,6,High,credit_card
11/1/2018,23:32:19,5,33910,Male,Web,Member,Fashion,Fossil Watch,159,4,0.3,59.9,6,Critical,credit_card
